summariser,condition,task_name,scorer,count,mean,std,median,min,max,std_error,ci_lower,ci_upper
claude-3-7-sonnet-20250219,lens_ap,task_1,claude-3-7-sonnet-20250219,9,4.111,1.691,3.0,3,7,0.564,3.006,5.216
claude-3-7-sonnet-20250219,lens_ap,task_1,deepseek-reasoner,9,7.778,0.441,8.0,7,8,0.147,7.49,8.066
claude-3-7-sonnet-20250219,lens_ap,task_1,o3-mini-2025-01-31,9,6.667,1.118,6.0,5,8,0.373,5.936,7.397
claude-3-7-sonnet-20250219,lens_ap,task_2,claude-3-7-sonnet-20250219,9,5.333,2.062,4.0,4,9,0.687,3.986,6.68
claude-3-7-sonnet-20250219,lens_ap,task_2,deepseek-reasoner,9,7.444,1.236,7.0,6,9,0.412,6.637,8.252
claude-3-7-sonnet-20250219,lens_ap,task_2,o3-mini-2025-01-31,9,5.889,1.364,5.0,5,8,0.455,4.998,6.78
claude-3-7-sonnet-20250219,lens_ap,task_3,claude-3-7-sonnet-20250219,9,5.111,1.764,4.0,3,8,0.588,3.959,6.263
claude-3-7-sonnet-20250219,lens_ap,task_3,deepseek-reasoner,9,7.556,1.014,7.0,6,9,0.338,6.893,8.218
claude-3-7-sonnet-20250219,lens_ap,task_3,o3-mini-2025-01-31,9,6.333,1.732,6.0,4,9,0.577,5.202,7.465
claude-3-7-sonnet-20250219,lens_ap_global,task_1,claude-3-7-sonnet-20250219,9,3.556,0.527,4.0,3,4,0.176,3.211,3.9
claude-3-7-sonnet-20250219,lens_ap_global,task_1,deepseek-reasoner,9,7.667,0.866,7.0,7,9,0.289,7.101,8.232
claude-3-7-sonnet-20250219,lens_ap_global,task_1,o3-mini-2025-01-31,9,7.333,0.707,7.0,6,8,0.236,6.871,7.795
claude-3-7-sonnet-20250219,lens_ap_global,task_2,claude-3-7-sonnet-20250219,9,4.556,1.13,4.0,3,6,0.377,3.817,5.294
claude-3-7-sonnet-20250219,lens_ap_global,task_2,deepseek-reasoner,9,6.556,0.527,7.0,6,7,0.176,6.211,6.9
claude-3-7-sonnet-20250219,lens_ap_global,task_2,o3-mini-2025-01-31,9,5.889,0.601,6.0,5,7,0.2,5.496,6.281
claude-3-7-sonnet-20250219,lens_ap_global,task_3,claude-3-7-sonnet-20250219,9,4.333,0.5,4.0,4,5,0.167,4.007,4.66
claude-3-7-sonnet-20250219,lens_ap_global,task_3,deepseek-reasoner,9,6.444,1.014,7.0,4,7,0.338,5.782,7.107
claude-3-7-sonnet-20250219,lens_ap_global,task_3,o3-mini-2025-01-31,9,7.111,0.928,7.0,6,8,0.309,6.505,7.717
claude-3-7-sonnet-20250219,lens_ap_global_local,task_1,claude-3-7-sonnet-20250219,9,3.333,0.707,3.0,3,5,0.236,2.871,3.795
claude-3-7-sonnet-20250219,lens_ap_global_local,task_1,deepseek-reasoner,9,7.444,1.333,8.0,5,9,0.444,6.573,8.316
claude-3-7-sonnet-20250219,lens_ap_global_local,task_1,o3-mini-2025-01-31,9,7.111,1.965,8.0,3,9,0.655,5.827,8.395
claude-3-7-sonnet-20250219,lens_ap_global_local,task_2,claude-3-7-sonnet-20250219,9,4.889,1.269,5.0,3,6,0.423,4.06,5.718
claude-3-7-sonnet-20250219,lens_ap_global_local,task_2,deepseek-reasoner,9,6.222,0.667,6.0,5,7,0.222,5.787,6.658
claude-3-7-sonnet-20250219,lens_ap_global_local,task_2,o3-mini-2025-01-31,9,5.111,1.364,5.0,3,7,0.455,4.22,6.002
claude-3-7-sonnet-20250219,lens_ap_global_local,task_3,claude-3-7-sonnet-20250219,9,6.444,1.878,7.0,4,8,0.626,5.217,7.672
claude-3-7-sonnet-20250219,lens_ap_global_local,task_3,deepseek-reasoner,9,7.333,1.118,7.0,6,9,0.373,6.603,8.064
claude-3-7-sonnet-20250219,lens_ap_global_local,task_3,o3-mini-2025-01-31,9,6.444,2.351,8.0,3,8,0.784,4.908,7.981
claude-3-7-sonnet-20250219,lens_ap_local,task_1,claude-3-7-sonnet-20250219,9,3.556,0.527,4.0,3,4,0.176,3.211,3.9
claude-3-7-sonnet-20250219,lens_ap_local,task_1,deepseek-reasoner,9,6.556,1.333,6.0,5,9,0.444,5.684,7.427
claude-3-7-sonnet-20250219,lens_ap_local,task_1,o3-mini-2025-01-31,9,6.222,1.481,7.0,3,8,0.494,5.254,7.19
claude-3-7-sonnet-20250219,lens_ap_local,task_2,claude-3-7-sonnet-20250219,9,4.889,1.616,4.0,3,7,0.539,3.833,5.945
claude-3-7-sonnet-20250219,lens_ap_local,task_2,deepseek-reasoner,9,6.444,0.527,6.0,6,7,0.176,6.1,6.789
claude-3-7-sonnet-20250219,lens_ap_local,task_2,o3-mini-2025-01-31,9,6.111,1.167,6.0,4,8,0.389,5.349,6.873
claude-3-7-sonnet-20250219,lens_ap_local,task_3,claude-3-7-sonnet-20250219,9,4.444,0.726,4.0,4,6,0.242,3.97,4.919
claude-3-7-sonnet-20250219,lens_ap_local,task_3,deepseek-reasoner,9,6.667,0.707,7.0,6,8,0.236,6.205,7.129
claude-3-7-sonnet-20250219,lens_ap_local,task_3,o3-mini-2025-01-31,9,6.556,1.59,6.0,5,10,0.53,5.517,7.594
claude-3-7-sonnet-20250219,lens_np,task_1,claude-3-7-sonnet-20250219,9,3.222,1.481,3.0,2,6,0.494,2.254,4.19
claude-3-7-sonnet-20250219,lens_np,task_1,deepseek-reasoner,9,5.778,1.093,6.0,3,7,0.364,5.064,6.492
claude-3-7-sonnet-20250219,lens_np,task_1,o3-mini-2025-01-31,9,5.111,0.782,5.0,4,6,0.261,4.6,5.622
claude-3-7-sonnet-20250219,lens_np,task_2,claude-3-7-sonnet-20250219,9,4.111,1.269,4.0,3,6,0.423,3.282,4.94
