summariser,condition,task_name,scorer,count,mean,std,median,min,max,std_error,ci_lower,ci_upper
claude-3-7-sonnet-20250219,lens_ap,task_1,claude-3-7-sonnet-20250219,9,7.778,1.093,8.0,6.0,9.0,0.364,7.064,8.492
claude-3-7-sonnet-20250219,lens_ap,task_1,deepseek-reasoner,9,7.222,1.093,7.0,6.0,9.0,0.364,6.508,7.936
claude-3-7-sonnet-20250219,lens_ap,task_1,o3-mini-2025-01-31,9,8.556,0.726,8.0,8.0,10.0,0.242,8.081,9.03
claude-3-7-sonnet-20250219,lens_ap,task_2_1,claude-3-7-sonnet-20250219,9,5.333,1.323,5.0,4.0,7.0,0.441,4.469,6.198
claude-3-7-sonnet-20250219,lens_ap,task_2_1,deepseek-reasoner,9,4.556,1.13,5.0,3.0,6.0,0.377,3.817,5.294
claude-3-7-sonnet-20250219,lens_ap,task_2_1,o3-mini-2025-01-31,9,5.0,0.866,5.0,4.0,6.0,0.289,4.434,5.566
claude-3-7-sonnet-20250219,lens_ap,task_2_2,claude-3-7-sonnet-20250219,9,5.222,1.481,5.0,3.0,7.0,0.494,4.254,6.19
claude-3-7-sonnet-20250219,lens_ap,task_2_2,deepseek-reasoner,9,5.333,1.118,6.0,4.0,7.0,0.373,4.603,6.064
claude-3-7-sonnet-20250219,lens_ap,task_2_2,o3-mini-2025-01-31,9,5.111,0.333,5.0,5.0,6.0,0.111,4.893,5.329
claude-3-7-sonnet-20250219,lens_ap,task_3,claude-3-7-sonnet-20250219,9,7.333,1.118,8.0,6.0,9.0,0.373,6.603,8.064
claude-3-7-sonnet-20250219,lens_ap,task_3,deepseek-reasoner,9,8.667,0.5,9.0,8.0,9.0,0.167,8.34,8.993
claude-3-7-sonnet-20250219,lens_ap,task_3,o3-mini-2025-01-31,9,9.222,0.833,9.0,8.0,10.0,0.278,8.678,9.767
claude-3-7-sonnet-20250219,lens_ap_global,task_1,claude-3-7-sonnet-20250219,9,7.222,0.441,7.0,7.0,8.0,0.147,6.934,7.51
claude-3-7-sonnet-20250219,lens_ap_global,task_1,deepseek-reasoner,9,7.111,1.269,7.0,5.0,9.0,0.423,6.282,7.94
claude-3-7-sonnet-20250219,lens_ap_global,task_1,o3-mini-2025-01-31,9,8.444,0.527,8.0,8.0,9.0,0.176,8.1,8.789
claude-3-7-sonnet-20250219,lens_ap_global,task_2_1,claude-3-7-sonnet-20250219,9,4.667,1.803,4.0,3.0,7.0,0.601,3.489,5.844
claude-3-7-sonnet-20250219,lens_ap_global,task_2_1,deepseek-reasoner,9,4.333,0.866,4.0,3.0,6.0,0.289,3.768,4.899
claude-3-7-sonnet-20250219,lens_ap_global,task_2_1,o3-mini-2025-01-31,9,5.0,0.866,5.0,4.0,6.0,0.289,4.434,5.566
claude-3-7-sonnet-20250219,lens_ap_global,task_2_2,claude-3-7-sonnet-20250219,9,4.889,1.616,4.0,3.0,7.0,0.539,3.833,5.945
claude-3-7-sonnet-20250219,lens_ap_global,task_2_2,deepseek-reasoner,9,4.778,1.202,5.0,3.0,6.0,0.401,3.993,5.563
claude-3-7-sonnet-20250219,lens_ap_global,task_2_2,o3-mini-2025-01-31,9,5.778,0.972,6.0,4.0,7.0,0.324,5.143,6.413
claude-3-7-sonnet-20250219,lens_ap_global,task_3,claude-3-7-sonnet-20250219,9,6.222,1.481,7.0,4.0,8.0,0.494,5.254,7.19
claude-3-7-sonnet-20250219,lens_ap_global,task_3,deepseek-reasoner,9,8.222,0.667,8.0,7.0,9.0,0.222,7.787,8.658
claude-3-7-sonnet-20250219,lens_ap_global,task_3,o3-mini-2025-01-31,9,7.667,2.121,9.0,4.0,10.0,0.707,6.281,9.053
