summariser,condition,task_name,scorer,count,mean,std,median,min,max,std_error,ci_lower,ci_upper
claude-3-7-sonnet-20250219,lens_ap,task_1,claude-3-7-sonnet-20250219,9,8.222,0.667,8.0,7,9,0.222,7.787,8.658
claude-3-7-sonnet-20250219,lens_ap,task_1,deepseek-reasoner,9,8.778,0.441,9.0,8,9,0.147,8.49,9.066
claude-3-7-sonnet-20250219,lens_ap,task_1,o3-mini-2025-01-31,9,8.778,0.667,9.0,8,10,0.222,8.342,9.213
claude-3-7-sonnet-20250219,lens_ap_global,task_1,claude-3-7-sonnet-20250219,9,7.778,1.856,9.0,5,9,0.619,6.565,8.99
claude-3-7-sonnet-20250219,lens_ap_global,task_1,deepseek-reasoner,9,8.111,1.364,9.0,6,9,0.455,7.22,9.002
claude-3-7-sonnet-20250219,lens_ap_global,task_1,o3-mini-2025-01-31,9,8.667,1.0,9.0,7,10,0.333,8.013,9.32
claude-3-7-sonnet-20250219,lens_ap_global_local,task_1,claude-3-7-sonnet-20250219,9,6.222,1.716,7.0,4,8,0.572,5.101,7.343
claude-3-7-sonnet-20250219,lens_ap_global_local,task_1,deepseek-reasoner,9,7.111,0.928,7.0,6,8,0.309,6.505,7.717
claude-3-7-sonnet-20250219,lens_ap_global_local,task_1,o3-mini-2025-01-31,9,8.667,0.707,9.0,8,10,0.236,8.205,9.129
claude-3-7-sonnet-20250219,lens_ap_local,task_1,claude-3-7-sonnet-20250219,9,7.0,1.732,7.0,5,9,0.577,5.868,8.132
claude-3-7-sonnet-20250219,lens_ap_local,task_1,deepseek-reasoner,9,7.556,0.726,7.0,7,9,0.242,7.081,8.03
claude-3-7-sonnet-20250219,lens_ap_local,task_1,o3-mini-2025-01-31,9,8.222,1.302,9.0,6,10,0.434,7.372,9.073
claude-3-7-sonnet-20250219,lens_np,task_1,claude-3-7-sonnet-20250219,9,8.556,0.527,9.0,8,9,0.176,8.211,8.9
claude-3-7-sonnet-20250219,lens_np,task_1,deepseek-reasoner,9,8.0,1.0,8.0,6,9,0.333,7.347,8.653
claude-3-7-sonnet-20250219,lens_np,task_1,o3-mini-2025-01-31,9,9.0,1.118,9.0,7,10,0.373,8.27,9.73
claude-3-7-sonnet-20250219,lens_np_global,task_1,claude-3-7-sonnet-20250219,9,8.111,0.928,8.0,7,9,0.309,7.505,8.717
claude-3-7-sonnet-20250219,lens_np_global,task_1,deepseek-reasoner,9,7.889,1.054,7.0,7,9,0.351,7.2,8.578
claude-3-7-sonnet-20250219,lens_np_global,task_1,o3-mini-2025-01-31,9,8.333,1.0,8.0,7,10,0.333,7.68,8.987
claude-3-7-sonnet-20250219,lens_np_global_local,task_1,claude-3-7-sonnet-20250219,9,8.0,0.866,8.0,7,9,0.289,7.434,8.566
claude-3-7-sonnet-20250219,lens_np_global_local,task_1,deepseek-reasoner,9,7.556,1.509,8.0,5,9,0.503,6.57,8.542
claude-3-7-sonnet-20250219,lens_np_global_local,task_1,o3-mini-2025-01-31,9,8.889,0.928,9.0,7,10,0.309,8.283,9.495
claude-3-7-sonnet-20250219,lens_np_local,task_1,claude-3-7-sonnet-20250219,9,8.444,0.882,9.0,7,9,0.294,7.868,9.021
claude-3-7-sonnet-20250219,lens_np_local,task_1,deepseek-reasoner,9,8.444,1.13,9.0,7,10,0.377,7.706,9.183
claude-3-7-sonnet-20250219,lens_np_local,task_1,o3-mini-2025-01-31,9,8.556,1.333,9.0,6,10,0.444,7.684,9.427
claude-3-7-sonnet-20250219,lens_single_cm,task_1,claude-3-7-sonnet-20250219,9,7.333,0.707,7.0,6,8,0.236,6.871,7.795
claude-3-7-sonnet-20250219,lens_single_cm,task_1,deepseek-reasoner,9,6.889,1.691,6.0,5,9,0.564,5.784,7.994
claude-3-7-sonnet-20250219,lens_single_cm,task_1,o3-mini-2025-01-31,9,8.0,1.414,8.0,6,10,0.471,7.076,8.924
claude-3-7-sonnet-20250219,lens_two_cm,task_1,claude-3-7-sonnet-20250219,9,8.444,0.726,9.0,7,9,0.242,7.97,8.919
claude-3-7-sonnet-20250219,lens_two_cm,task_1,deepseek-reasoner,9,7.667,0.5,8.0,7,8,0.167,7.34,7.993
claude-3-7-sonnet-20250219,lens_two_cm,task_1,o3-mini-2025-01-31,9,8.556,1.509,9.0,6,10,0.503,7.57,9.542
claude-3-7-sonnet-20250219,rm_ap,task_1,claude-3-7-sonnet-20250219,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
claude-3-7-sonnet-20250219,rm_ap,task_1,deepseek-reasoner,9,9.0,0.5,9.0,8,10,0.167,8.673,9.327
claude-3-7-sonnet-20250219,rm_ap,task_1,o3-mini-2025-01-31,9,8.667,0.5,9.0,8,9,0.167,8.34,8.993
claude-3-7-sonnet-20250219,rm_global,task_1,claude-3-7-sonnet-20250219,9,7.111,0.601,7.0,6,8,0.2,6.719,7.504
claude-3-7-sonnet-20250219,rm_global,task_1,deepseek-reasoner,9,7.667,0.707,8.0,7,9,0.236,7.205,8.129
claude-3-7-sonnet-20250219,rm_global,task_1,o3-mini-2025-01-31,9,8.444,0.527,8.0,8,9,0.176,8.1,8.789
claude-3-7-sonnet-20250219,rm_global_local,task_1,claude-3-7-sonnet-20250219,9,6.0,0.0,6.0,6,6,0.0,6.0,6.0
claude-3-7-sonnet-20250219,rm_global_local,task_1,deepseek-reasoner,9,8.111,0.601,8.0,7,9,0.2,7.719,8.504
claude-3-7-sonnet-20250219,rm_global_local,task_1,o3-mini-2025-01-31,9,8.889,0.333,9.0,8,9,0.111,8.671,9.107
claude-3-7-sonnet-20250219,rm_np,task_1,claude-3-7-sonnet-20250219,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
claude-3-7-sonnet-20250219,rm_np,task_1,deepseek-reasoner,9,8.556,0.882,9.0,7,10,0.294,7.979,9.132
claude-3-7-sonnet-20250219,rm_np,task_1,o3-mini-2025-01-31,9,8.778,0.667,9.0,8,10,0.222,8.342,9.213
deepseek-reasoner,lens_ap,task_1,claude-3-7-sonnet-20250219,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,lens_ap,task_1,deepseek-reasoner,9,9.444,0.527,9.0,9,10,0.176,9.1,9.789
deepseek-reasoner,lens_ap,task_1,o3-mini-2025-01-31,9,9.444,0.527,9.0,9,10,0.176,9.1,9.789
deepseek-reasoner,lens_ap_global,task_1,claude-3-7-sonnet-20250219,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,lens_ap_global,task_1,deepseek-reasoner,9,9.333,0.5,9.0,9,10,0.167,9.007,9.66
deepseek-reasoner,lens_ap_global,task_1,o3-mini-2025-01-31,9,9.222,1.093,10.0,7,10,0.364,8.508,9.936
deepseek-reasoner,lens_ap_global_local,task_1,claude-3-7-sonnet-20250219,9,8.778,0.441,9.0,8,9,0.147,8.49,9.066
deepseek-reasoner,lens_ap_global_local,task_1,deepseek-reasoner,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,lens_ap_global_local,task_1,o3-mini-2025-01-31,9,8.778,1.481,9.0,5,10,0.494,7.81,9.746
deepseek-reasoner,lens_ap_local,task_1,claude-3-7-sonnet-20250219,9,8.778,0.441,9.0,8,9,0.147,8.49,9.066
deepseek-reasoner,lens_ap_local,task_1,deepseek-reasoner,9,9.111,0.333,9.0,9,10,0.111,8.893,9.329
deepseek-reasoner,lens_ap_local,task_1,o3-mini-2025-01-31,9,9.444,0.527,9.0,9,10,0.176,9.1,9.789
deepseek-reasoner,lens_np,task_1,claude-3-7-sonnet-20250219,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,lens_np,task_1,deepseek-reasoner,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,lens_np,task_1,o3-mini-2025-01-31,9,9.111,1.269,10.0,7,10,0.423,8.282,9.94
deepseek-reasoner,lens_np_global,task_1,claude-3-7-sonnet-20250219,9,8.778,0.667,9.0,7,9,0.222,8.342,9.213
deepseek-reasoner,lens_np_global,task_1,deepseek-reasoner,9,8.889,0.333,9.0,8,9,0.111,8.671,9.107
deepseek-reasoner,lens_np_global,task_1,o3-mini-2025-01-31,9,8.444,1.509,9.0,6,10,0.503,7.458,9.43
deepseek-reasoner,lens_np_global_local,task_1,claude-3-7-sonnet-20250219,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,lens_np_global_local,task_1,deepseek-reasoner,9,9.0,0.5,9.0,8,10,0.167,8.673,9.327
deepseek-reasoner,lens_np_global_local,task_1,o3-mini-2025-01-31,9,9.0,0.707,9.0,8,10,0.236,8.538,9.462
deepseek-reasoner,lens_np_local,task_1,claude-3-7-sonnet-20250219,9,8.889,0.333,9.0,8,9,0.111,8.671,9.107
deepseek-reasoner,lens_np_local,task_1,deepseek-reasoner,9,9.222,0.441,9.0,9,10,0.147,8.934,9.51
deepseek-reasoner,lens_np_local,task_1,o3-mini-2025-01-31,9,8.333,1.414,9.0,6,10,0.471,7.409,9.257
deepseek-reasoner,lens_single_cm,task_1,claude-3-7-sonnet-20250219,9,7.0,3.0,9.0,3,9,1.0,5.04,8.96
deepseek-reasoner,lens_single_cm,task_1,deepseek-reasoner,9,9.111,0.333,9.0,9,10,0.111,8.893,9.329
deepseek-reasoner,lens_single_cm,task_1,o3-mini-2025-01-31,9,8.222,1.093,8.0,7,10,0.364,7.508,8.936
deepseek-reasoner,lens_two_cm,task_1,claude-3-7-sonnet-20250219,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,lens_two_cm,task_1,deepseek-reasoner,9,9.222,0.441,9.0,9,10,0.147,8.934,9.51
deepseek-reasoner,lens_two_cm,task_1,o3-mini-2025-01-31,9,9.333,0.5,9.0,9,10,0.167,9.007,9.66
deepseek-reasoner,rm_ap,task_1,claude-3-7-sonnet-20250219,9,8.556,0.726,9.0,7,9,0.242,8.081,9.03
deepseek-reasoner,rm_ap,task_1,deepseek-reasoner,9,8.889,0.333,9.0,8,9,0.111,8.671,9.107
deepseek-reasoner,rm_ap,task_1,o3-mini-2025-01-31,9,8.444,1.333,8.0,7,10,0.444,7.573,9.316
deepseek-reasoner,rm_global,task_1,claude-3-7-sonnet-20250219,9,8.667,0.5,9.0,8,9,0.167,8.34,8.993
deepseek-reasoner,rm_global,task_1,deepseek-reasoner,9,9.0,0.5,9.0,8,10,0.167,8.673,9.327
deepseek-reasoner,rm_global,task_1,o3-mini-2025-01-31,9,9.333,0.5,9.0,9,10,0.167,9.007,9.66
deepseek-reasoner,rm_global_local,task_1,claude-3-7-sonnet-20250219,9,8.333,0.707,8.0,7,9,0.236,7.871,8.795
deepseek-reasoner,rm_global_local,task_1,deepseek-reasoner,9,8.778,0.441,9.0,8,9,0.147,8.49,9.066
deepseek-reasoner,rm_global_local,task_1,o3-mini-2025-01-31,9,9.222,0.667,9.0,8,10,0.222,8.787,9.658
deepseek-reasoner,rm_np,task_1,claude-3-7-sonnet-20250219,9,8.444,0.527,8.0,8,9,0.176,8.1,8.789
